customerID,Contract,tenure,MonthlyCharges,TotalCharges,PaymentMethod,TechSupport,PaperlessBilling,Churn
5248-YGIJN,Two year,72,90.25,6369.45,Credit card (automatic),Yes,Yes,No
8773-HHUOZ,Month-to-month,17,64.7,1093.1,Mailed check,No,Yes,Yes
3841-NFECX,Two year,71,96.35,6766.95,Credit card (automatic),Yes,Yes,No
4929-XIHVW,Month-to-month,2,95.5,181.65,Credit card (automatic),No,Yes,No
6827-IEAUQ,One year,27,66.15,1874.45,Mailed check,Yes,No,No
7310-EGVHZ,Month-to-month,1,20.2,20.2,Bank transfer (automatic),No internet service,No,No
3413-BMNZE,Month-to-month,1,45.25,45.25,Bank transfer (automatic),No,No,No
6234-RAAPL,Two year,72,99.9,7251.7,Bank transfer (automatic),Yes,No,No
6047-YHPVI,Month-to-month,5,69.7,316.9,Electronic check,No,Yes,Yes
6572-ADKRS,Month-to-month,46,74.8,3548.3,Credit card (automatic),No,Yes,No
5380-WJKOV,Month-to-month,34,106.35,3549.25,Electronic check,No,Yes,Yes
8168-UQWWF,Month-to-month,11,97.85,1105.4,Bank transfer (automatic),No,Yes,Yes
8865-TNMNX,One year,10,49.55,475.7,Mailed check,No,No,No
9489-DEDVP,Two year,70,69.2,4872.35,Credit card (automatic),No,Yes,No
9867-JCZSP,One year,17,20.75,418.25,Mailed check,No internet service,No,No
4671-VJLCL,Two year,63,79.85,4861.45,Credit card (automatic),Yes,Yes,No
4080-IIARD,Month-to-month,13,76.2,981.45,Electronic check,Yes,Yes,No
3714-NTNFO,Month-to-month,49,84.5,3906.7,Electronic check,No,Yes,No
5948-UJZLF,Month-to-month,2,49.25,97.0,Mailed check,No,No,No
7760-OYPDY,Month-to-month,2,80.65,144.15,Electronic check,No,Yes,Yes
7639-LIAYI,Two year,52,79.75,4217.8,Credit card (automatic),Yes,Yes,No
2954-PIBKO,Two year,69,64.15,4254.1,Credit card (automatic),Yes,Yes,No
8012-SOUDQ,Month-to-month,43,90.25,3838.75,Electronic check,No,Yes,No
9420-LOJKX,Month-to-month,15,99.1,1426.4,Credit card (automatic),No,Yes,Yes
6575-SUVOI,Month-to-month,25,69.5,1752.65,Credit card (automatic),Yes,Yes,No
7495-OOKFY,Month-to-month,8,80.65,633.3,Credit card (automatic),No,Yes,Yes
4667-QONEA,One year,60,74.85,4456.35,Credit card (automatic),Yes,Yes,No
1658-BYGOY,Month-to-month,18,95.45,1752.55,Electronic check,No,Yes,Yes
8769-KKTPH,One year,63,99.65,6311.2,Credit card (automatic),No,Yes,No
5067-XJQFU,One year,66,108.45,7076.35,Electronic check,Yes,Yes,No
3957-SQXML,Two year,34,24.95,894.3,Credit card (automatic),No internet service,No,No
5954-BDFSG,Two year,72,107.5,7853.7,Credit card (automatic),Yes,Yes,No
0434-CSFON,Month-to-month,47,100.5,4707.1,Electronic check,No,Yes,No
1215-FIGMP,Month-to-month,60,89.9,5450.7,Bank transfer (automatic),No,Yes,No
0526-SXDJP,Two year,72,42.1,2962.0,Bank transfer (automatic),No,No,No
0557-ASKVU,One year,18,54.4,957.1,Credit card (automatic),Yes,Yes,No
5698-BQJOH,Month-to-month,9,94.4,857.25,Electronic check,No,No,Yes
5122-CYFXA,Month-to-month,3,75.3,244.1,Electronic check,Yes,Yes,No
8627-ZYGSZ,One year,47,78.9,3650.35,Electronic check,No,Yes,No
3410-YOQBQ,Two year,31,79.2,2497.2,Mailed check,Yes,No,No
3170-NMYVV,Two year,50,20.15,930.9,Bank transfer (automatic),No internet service,No,No
7410-OIEDU,Month-to-month,10,79.85,887.35,Mailed check,No,Yes,No
2273-QCKXA,Month-to-month,1,49.05,49.05,Mailed check,Yes,No,No
0731-EBJQB,One year,52,20.4,1090.65,Electronic check,No internet service,Yes,No
1891-QRQSA,Two year,64,111.6,7099.0,Bank transfer (automatic),Yes,Yes,No
8028-PNXHQ,Two year,62,24.25,1424.6,Bank transfer (automatic),No internet service,Yes,No
5630-AHZIL,Month-to-month,3,64.5,177.4,Bank transfer (automatic),Yes,Yes,No
2673-CXQEU,One year,56,110.5,6139.5,Electronic check,No,No,No
6416-JNVRK,One year,46,55.65,2688.85,Credit card (automatic),No,No,No
5590-ZSKRV,Month-to-month,8,54.65,482.25,Mailed check,No,No,No
0191-ZHSKZ,Month-to-month,30,74.75,2111.3,Electronic check,No,Yes,No
3887-PBQAO,One year,45,25.9,1216.6,Credit card (automatic),No internet service,Yes,No
5919-TMRGD,Month-to-month,1,79.35,79.35,Electronic check,No,Yes,Yes
8108-UXRQN,Month-to-month,11,50.55,565.35,Electronic check,No,No,No
9191-MYQKX,Month-to-month,7,75.15,496.9,Bank transfer (automatic),No,Yes,Yes
9919-YLNNG,Month-to-month,42,103.8,4327.5,Bank transfer (automatic),Yes,Yes,No
0318-ZOPWS,Two year,49,20.15,973.35,Bank transfer (automatic),No internet service,Yes,No
4445-ZJNMU,Month-to-month,9,99.3,918.75,Credit card (automatic),No,Yes,No
4808-YNLEU,One year,35,62.15,2215.45,Bank transfer (automatic),No,Yes,No
1862-QRWPE,Two year,48,20.65,1057.0,Bank transfer (automatic),No internet service,No,No
2796-NNUFI,Two year,46,19.95,927.1,Mailed check,No internet service,Yes,No
3016-KSVCP,Month-to-month,29,33.75,1009.25,Mailed check,No,No,No
4767-HZZHQ,Month-to-month,30,82.05,2570.2,Bank transfer (automatic),No,No,No
2424-WVHPL,Month-to-month,1,74.7,74.7,Electronic check,Yes,No,No
7233-PAHHL,Two year,66,84.0,5714.25,Mailed check,Yes,Yes,No
6067-NGCEU,Month-to-month,65,111.05,7107.0,Credit card (automatic),No,Yes,No
9848-JQJTX,Two year,72,100.9,7459.05,Bank transfer (automatic),No,Yes,No
8637-XJIVR,Month-to-month,12,78.95,927.35,Electronic check,No,Yes,Yes
9803-FTJCG,One year,71,66.85,4748.7,Credit card (automatic),Yes,Yes,No
0278-YXOOG,Month-to-month,5,21.05,113.85,Mailed check,No internet service,No,Yes
3212-KXOCR,Two year,52,21.0,1107.2,Bank transfer (automatic),No internet service,No,No
4598-XLKNJ,Month-to-month,25,98.5,2514.5,Electronic check,No,Yes,Yes
6380-ARCEH,Month-to-month,1,20.2,20.2,Mailed check,No internet service,No,No
3679-XASPY,Month-to-month,1,19.45,19.45,Electronic check,No internet service,No,No
7123-WQUHX,One year,38,95.0,3605.6,Bank transfer (automatic),Yes,No,No
5386-THSLQ,One year,66,45.55,3027.25,Bank transfer (automatic),No,No,No
3192-NQECA,Two year,68,110.0,7611.85,Bank transfer (automatic),Yes,Yes,Yes
6180-YBIQI,Month-to-month,5,24.3,100.2,Mailed check,No,No,No
6728-DKUCO,One year,72,104.15,7303.05,Electronic check,No,Yes,No
9750-BOOHV,One year,32,30.15,927.65,Mailed check,No,No,No
8597-CWYHH,One year,43,94.35,3921.3,Mailed check,No,No,No
2848-YXSMW,Two year,72,19.4,1363.25,Credit card (automatic),No internet service,No,No
0486-HECZI,Month-to-month,55,96.75,5238.9,Electronic check,No,Yes,Yes
4549-ZDQYY,One year,52,57.95,3042.25,Credit card (automatic),Yes,No,No
5712-AHQNN,Month-to-month,43,91.65,3954.1,Electronic check,No,Yes,No
4846-WHAFZ,Month-to-month,37,76.5,2868.15,Electronic check,No,Yes,Yes
5256-SKJGO,Two year,64,54.6,3423.5,Electronic check,Yes,Yes,No
3071-VBYPO,Month-to-month,3,89.85,248.4,Electronic check,No,No,No
9560-BBZXK,Two year,36,31.05,1126.35,Bank transfer (automatic),No,No,No
5299-RULOA,Month-to-month,10,100.25,1064.65,Electronic check,No,Yes,Yes
8402-OOOHJ,Two year,41,20.65,835.15,Mailed check,No internet service,No,No
9445-ZUEQE,Month-to-month,27,85.2,2151.6,Credit card (automatic),Yes,Yes,No
1091-SOZGA,One year,56,99.8,5515.45,Credit card (automatic),No,Yes,No
2928-HLDBA,Month-to-month,6,20.7,112.75,Mailed check,No internet service,No,No
0404-SWRVG,Month-to-month,3,74.4,229.55,Electronic check,No,Yes,Yes
6497-TILVL,Month-to-month,7,50.7,350.35,Mailed check,No,No,No
7219-TLZHO,Month-to-month,4,20.85,62.9,Mailed check,No internet service,No,No
4622-YNKIJ,Two year,33,88.95,3027.65,Electronic check,Yes,Yes,No
4412-YLTKF,Month-to-month,27,78.05,2135.5,Electronic check,No,Yes,Yes
6734-PSBAW,Two year,72,23.55,1723.95,Bank transfer (automatic),No internet service,Yes,No
3930-ZGWVE,Month-to-month,1,19.75,19.75,Mailed check,No internet service,No,No
2639-UGMAZ,One year,71,56.45,3985.35,Electronic check,No,Yes,No
2876-GZYZC,Month-to-month,13,85.95,1215.65,Electronic check,No,Yes,No
6207-WIOLX,Month-to-month,25,58.6,1502.65,Credit card (automatic),No,Yes,Yes
8587-XYZSF,Two year,67,50.55,3260.1,Bank transfer (automatic),Yes,No,No
3091-FYHKI,Month-to-month,1,35.45,35.45,Electronic check,No,Yes,Yes
2372-HWUHI,Month-to-month,2,44.35,81.25,Electronic check,No,No,Yes
7799-LGRDP,Two year,43,25.7,1188.2,Credit card (automatic),No internet service,Yes,No
7850-VWJUU,Month-to-month,23,75.0,1778.5,Bank transfer (automatic),No,Yes,No
3774-VBNXY,Two year,64,20.2,1277.75,Mailed check,No internet service,No,No
6217-KDYWC,Two year,57,19.6,1170.55,Mailed check,No internet service,Yes,No
0390-DCFDQ,Month-to-month,1,70.45,70.45,Mailed check,No,Yes,Yes
3146-MSEGF,Two year,72,88.05,6425.65,Credit card (automatic),Yes,Yes,No
4080-OGPJL,Month-to-month,8,71.15,563.65,Electronic check,Yes,No,Yes
1095-WGNGG,Two year,61,101.05,5971.25,Bank transfer (automatic),No,Yes,No
2636-SJDOU,One year,64,84.3,5289.05,Credit card (automatic),No,Yes,No
1131-QQZEB,Two year,71,23.95,1756.2,Bank transfer (automatic),No internet service,No,No
5716-EZXZN,Two year,65,99.05,6416.7,Credit card (automatic),Yes,Yes,No
6837-BJYDQ,One year,3,19.6,61.35,Mailed check,No internet service,No,No
2135-RXIHG,Month-to-month,1,45.65,45.65,Electronic check,No,Yes,Yes
6440-DKQGE,One year,30,64.5,1929.95,Credit card (automatic),No,No,No
3466-BYAVD,Month-to-month,15,69.5,1071.4,Mailed check,Yes,Yes,No
3780-YVMFA,Month-to-month,8,68.55,564.35,Electronic check,Yes,Yes,No
3874-EQOEP,Month-to-month,7,95.0,655.5,Mailed check,No,No,Yes
1679-JRFBR,One year,70,108.15,7930.55,Credit card (automatic),No,Yes,No
9073-ZZIAY,Two year,62,86.1,5215.25,Electronic check,Yes,No,No
3077-RSNTJ,Month-to-month,6,19.7,113.5,Mailed check,No internet service,No,No
6551-GNYDG,Month-to-month,14,80.9,1152.8,Bank transfer (automatic),No,Yes,No
9167-APMXZ,Month-to-month,22,84.15,1821.95,Bank transfer (automatic),No,Yes,No
2749-CTKAJ,One year,22,20.15,419.9,Mailed check,No internet service,No,No
6371-NZYEG,Two year,16,64.25,1024.0,Mailed check,No,No,No
7554-NEWDD,Two year,10,25.7,251.6,Bank transfer (automatic),No internet service,No,No
8992-VONJD,Month-to-month,13,56.0,764.55,Electronic check,No,Yes,No
0867-MKZVY,Month-to-month,20,82.4,1592.35,Electronic check,No,No,Yes
4482-EWFMI,Month-to-month,2,69.7,135.2,Electronic check,No,Yes,No
4648-YPBTM,Two year,53,73.9,3958.25,Bank transfer (automatic),Yes,Yes,No
2907-ILJBN,One year,11,20.6,233.9,Mailed check,No internet service,No,No
6345-FZOQH,Two year,69,19.9,1363.45,Mailed check,No internet service,No,No
3376-BMGFE,Month-to-month,4,70.9,273.0,Bank transfer (automatic),No,Yes,Yes
5997-OPVFA,Two year,72,89.05,6254.45,Bank transfer (automatic),Yes,Yes,No
3445-HXXGF,Month-to-month,58,45.3,2651.2,Electronic check,No,Yes,Yes
1159-WFSGR,Month-to-month,16,20.4,321.4,Electronic check,No internet service,No,No
7654-YWJUF,One year,43,84.25,3539.25,Bank transfer (automatic),Yes,Yes,No
1875-QIVME,Month-to-month,2,104.4,242.8,Electronic check,Yes,Yes,Yes
6727-IOTLZ,Two year,14,81.95,1181.75,Mailed check,Yes,No,No
0691-JVSYA,One year,53,94.85,5000.2,Bank transfer (automatic),No,Yes,Yes
5918-VUKWP,One year,32,20.55,654.55,Bank transfer (automatic),No internet service,No,No
1744-JHKYS,Month-to-month,34,24.7,780.2,Electronic check,No internet service,No,No
2656-FMOKZ,Month-to-month,15,74.45,1145.7,Mailed check,No,Yes,Yes
2070-FNEXE,Month-to-month,7,76.45,503.6,Bank transfer (automatic),No,No,Yes
5947-SGKCL,Month-to-month,15,105.35,1559.25,Bank transfer (automatic),No,Yes,No
3712-PKXZA,One year,61,20.55,1252.0,Credit card (automatic),No internet service,Yes,No
6317-YPKDH,Month-to-month,1,29.95,29.95,Bank transfer (automatic),No,No,Yes
6582-OIVSP,Month-to-month,1,45.3,45.3,Mailed check,No,No,No
9367-WXLCH,Month-to-month,8,84.5,662.65,Bank transfer (automatic),No,No,Yes
5524-KHNJP,One year,33,74.75,2453.3,Credit card (automatic),No,No,No
1918-ZBFQJ,Month-to-month,13,79.25,1111.65,Electronic check,No,Yes,Yes
1024-GUALD,Month-to-month,1,24.8,24.8,Electronic check,No,Yes,Yes
4827-USJHP,Month-to-month,20,51.8,1023.85,Mailed check,No,Yes,No
8167-GJLRN,Month-to-month,3,30.4,82.15,Electronic check,Yes,No,No
0956-SYCWG,One year,13,19.65,244.8,Electronic check,No internet service,No,No
8017-UVSZU,Month-to-month,40,56.6,2379.1,Credit card (automatic),No,No,No
7100-FQPRV,One year,43,71.9,3173.35,Credit card (automatic),Yes,Yes,No
2472-OVKUP,Month-to-month,6,91.0,531.0,Electronic check,No,Yes,Yes
2984-RGEYA,Two year,69,19.75,1375.4,Bank transfer (automatic),No internet service,No,No
9680-NIAUV,Two year,72,109.7,8129.3,Credit card (automatic),No,No,No
2146-EGVDT,Two year,59,19.3,1192.7,Credit card (automatic),No internet service,No,No
2604-IJPDU,Month-to-month,20,96.55,1901.65,Electronic check,Yes,Yes,No
9178-JHUVJ,Two year,24,24.1,587.4,Bank transfer (automatic),No internet service,Yes,No
6168-YBYNP,Month-to-month,59,111.35,6519.75,Electronic check,Yes,Yes,No
7255-SSFBC,Two year,72,112.25,8041.65,Bank transfer (automatic),Yes,Yes,No
3645-DEYGF,Month-to-month,1,20.75,20.75,Mailed check,No internet service,No,No
9323-HGFWY,One year,27,101.9,2681.15,Credit card (automatic),Yes,Yes,No
8544-GOQSH,Month-to-month,14,80.05,1112.3,Credit card (automatic),Yes,Yes,No
3363-DTIVD,Two year,71,105.55,7405.5,Electronic check,No,No,No
7018-WBJNK,Month-to-month,13,78.3,1033.95,Credit card (automatic),No,Yes,No
9142-KZXOP,Month-to-month,44,68.85,2958.95,Credit card (automatic),No,No,No
7674-YTAFD,One year,33,79.95,2684.85,Bank transfer (automatic),Yes,Yes,No
6348-SNFUS,Two year,72,55.45,4179.2,Credit card (automatic),Yes,Yes,No
1285-OKIPP,Month-to-month,1,79.9,79.9,Electronic check,No,No,Yes
7825-ECJRF,Month-to-month,19,106.6,1934.45,Electronic check,Yes,Yes,Yes
1347-KTTTA,One year,64,102.45,6654.1,Credit card (automatic),Yes,Yes,No
7841-TZDMQ,Month-to-month,2,46.0,84.5,Credit card (automatic),No,Yes,Yes
4195-NZGTA,Month-to-month,1,25.25,25.25,Electronic check,No,No,No
7157-SMCFK,Two year,61,19.75,1124.2,Mailed check,No internet service,No,No
4709-LKHYG,One year,29,20.0,540.05,Electronic check,No internet service,No,No
2504-DSHIH,Month-to-month,23,86.8,1975.85,Electronic check,No,No,No
0699-NDKJM,Month-to-month,57,58.75,3437.45,Bank transfer (automatic),No,Yes,No
9286-BHDQG,Two year,72,45.25,3139.8,Credit card (automatic),Yes,No,No
0230-WEQUW,Two year,66,56.6,3789.2,Bank transfer (automatic),Yes,Yes,No
2040-LDIWQ,Two year,65,84.2,5324.5,Bank transfer (automatic),Yes,Yes,No
6496-JDSSB,Month-to-month,8,80.0,624.6,Bank transfer (automatic),No,Yes,No
9408-SSNVZ,Month-to-month,4,70.15,268.35,Electronic check,No,Yes,Yes
4443-EMBNA,Two year,71,24.75,1836.9,Bank transfer (automatic),No internet service,No,No
6469-MRVET,One year,1,20.2,20.2,Electronic check,No internet service,Yes,No
0742-MOABM,Month-to-month,4,50.05,179.35,Mailed check,Yes,No,Yes
5961-VUSRV,One year,12,19.35,219.35,Bank transfer (automatic),No internet service,Yes,No
6778-JFCMK,One year,24,50.6,1288.75,Mailed check,No,Yes,No
6341-JVQGF,One year,31,81.15,2545.75,Mailed check,Yes,Yes,No
2232-DMLXU,Month-to-month,1,55.2,55.2,Mailed check,No,No,Yes
4811-JBUVU,Month-to-month,30,89.9,2723.15,Credit card (automatic),Yes,Yes,No
0945-TSONX,Two year,47,85.3,4107.25,Credit card (automatic),Yes,Yes,No
2651-ZCBXV,Two year,54,108.0,5760.65,Credit card (automatic),Yes,Yes,No
3316-UWXUY,Month-to-month,50,93.5,4747.5,Credit card (automatic),Yes,Yes,No
8937-RDTHP,Month-to-month,1,84.6,84.6,Mailed check,No,Yes,Yes
7083-MIOPC,Two year,72,20.25,1566.9,Credit card (automatic),No internet service,No,No
1984-GPTEH,Month-to-month,29,25.15,702.0,Electronic check,No internet service,No,No
1251-KRREG,Month-to-month,2,54.4,114.1,Mailed check,No,Yes,Yes
0621-JFHOL,Two year,10,29.6,299.05,Mailed check,Yes,Yes,No
9903-LYSAB,Month-to-month,18,73.15,1305.95,Electronic check,No,Yes,No
0094-OIFMO,Month-to-month,11,95.0,1120.3,Electronic check,No,Yes,Yes
9227-UAQFT,Two year,16,19.75,284.35,Mailed check,No internet service,No,No
7301-ABVAD,Two year,72,86.6,6350.5,Bank transfer (automatic),Yes,No,No
6614-FHDBO,Two year,72,109.2,7878.3,Bank transfer (automatic),Yes,No,No
7576-ASEJU,One year,41,74.7,3187.65,Credit card (automatic),Yes,Yes,No
9058-HRZSV,Month-to-month,65,94.4,6126.15,Electronic check,No,No,No
4522-AKYLR,Month-to-month,13,54.8,731.3,Electronic check,No,Yes,No
0221-WMXNQ,Month-to-month,4,75.35,273.4,Electronic check,No,No,No
0303-UNCIP,One year,41,65.0,2531.8,Mailed check,No,No,No
9947-OTFQU,Month-to-month,15,74.4,1074.3,Electronic check,No,Yes,Yes
0322-YINQP,Month-to-month,1,48.55,48.55,Mailed check,No,Yes,Yes
0959-WHOKV,One year,42,99.0,4298.45,Electronic check,No,Yes,No
4075-JFPGR,One year,51,93.5,4619.55,Electronic check,No,Yes,No
4629-NRXKX,Month-to-month,2,70.4,147.15,Electronic check,No,No,Yes
9514-JDSKI,Month-to-month,1,40.2,40.2,Electronic check,No,No,Yes
3282-ZISZV,One year,32,83.7,2633.3,Credit card (automatic),Yes,No,No
3675-YDUPJ,Month-to-month,10,19.85,193.05,Mailed check,No internet service,Yes,No
4111-BNXIF,Two year,67,59.55,4103.9,Electronic check,Yes,Yes,No
7017-VFHAY,Two year,61,115.1,7008.15,Credit card (automatic),Yes,No,No
6655-LHBYW,One year,50,114.35,5791.1,Credit card (automatic),Yes,No,No
4959-JOSRX,Month-to-month,2,44.6,80.55,Credit card (automatic),No,Yes,Yes
5046-NUHWD,Month-to-month,29,45.0,1228.65,Electronic check,No,Yes,No
7273-TEFQD,Month-to-month,3,41.15,132.2,Electronic check,No,Yes,Yes
3606-TWKGI,Month-to-month,13,106.9,1364.3,Electronic check,No,Yes,Yes
7529-ZDFXI,Month-to-month,57,89.85,4925.35,Electronic check,No,Yes,No
7605-BDWDC,Two year,31,49.85,1520.1,Bank transfer (automatic),Yes,Yes,No
1950-KSVVJ,One year,45,113.3,5032.25,Mailed check,Yes,No,No
0123-CRBRT,Two year,61,88.1,5526.75,Mailed check,Yes,No,No
6292-TOSSS,Two year,50,24.9,1195.25,Bank transfer (automatic),No internet service,No,No
3197-ARFOY,Month-to-month,19,105.0,2007.25,Mailed check,Yes,Yes,No
6323-AYBRX,Two year,59,19.35,1099.6,Mailed check,No internet service,No,Yes
7014-ZZXAW,Two year,71,24.25,1732.95,Credit card (automatic),No internet service,Yes,No
4385-GZQXV,Month-to-month,16,94.45,1511.2,Electronic check,Yes,Yes,Yes
7633-MVPUY,Two year,57,59.75,3450.15,Electronic check,Yes,Yes,No
6366-ZGQGL,Month-to-month,1,24.8,24.8,Bank transfer (automatic),No,No,Yes
4716-HHKQH,Month-to-month,20,107.05,2172.05,Electronic check,Yes,No,No
5940-AHUHD,Month-to-month,1,70.6,70.6,Mailed check,No,No,Yes
6432-TWQLB,Month-to-month,5,85.4,401.1,Electronic check,Yes,Yes,Yes
4484-GLZOU,Month-to-month,52,105.05,5624.85,Electronic check,No,Yes,Yes
3179-GBRWV,Month-to-month,21,64.95,1339.8,Bank transfer (automatic),No,Yes,No
8645-KWHJO,Month-to-month,14,55.0,771.95,Electronic check,Yes,Yes,No
4130-MZLCC,Month-to-month,5,50.55,244.75,Bank transfer (automatic),No,No,No
0314-TKOSI,Month-to-month,6,55.15,322.9,Mailed check,No,No,No
8229-MYEJZ,Month-to-month,10,51.2,498.25,Electronic check,No,No,No
2080-SRCDE,Month-to-month,1,25.4,25.4,Mailed check,No internet service,No,No
9577-WJVCQ,Month-to-month,68,54.45,3687.75,Mailed check,No,No,No
9512-UIBFX,Month-to-month,18,95.15,1779.95,Mailed check,No,No,Yes
6202-DYYFX,One year,22,76.0,1783.6,Credit card (automatic),No,Yes,No
3808-HFKDE,Month-to-month,20,44.35,927.15,Electronic check,No,Yes,No
5583-SXDAG,Month-to-month,1,70.0,70.0,Electronic check,No,No,Yes
3488-PGMQJ,Month-to-month,8,74.5,606.55,Electronic check,No,Yes,Yes
3580-REOAC,Month-to-month,10,44.85,435.4,Credit card (automatic),No,Yes,Yes
7534-BFESC,Month-to-month,24,76.1,1712.7,Electronic check,No,Yes,Yes
3727-OWVYD,One year,35,61.2,2021.2,Mailed check,No,No,No
2294-SALNE,One year,23,86.8,1940.8,Mailed check,Yes,No,No
4847-TAJYI,Month-to-month,6,89.35,567.8,Electronic check,No,Yes,No
1563-IWQEX,Month-to-month,12,19.7,220.35,Mailed check,No internet service,No,No
8203-XJZRC,Month-to-month,1,20.25,20.25,Mailed check,No internet service,No,No
6556-DBKZF,Two year,71,76.05,5436.45,Electronic check,No,No,No
6851-WEFYX,Month-to-month,35,100.8,3437.5,Electronic check,No,Yes,No
2985-JUUBZ,Month-to-month,40,74.55,3015.75,Electronic check,No,Yes,No
6390-DSAZX,Month-to-month,1,73.6,73.6,Mailed check,No,Yes,Yes
0895-LMRSF,One year,23,64.9,1509.8,Bank transfer (automatic),No,Yes,No
8098-LLAZX,Month-to-month,4,95.45,396.1,Electronic check,No,Yes,Yes
8266-VBFQL,Month-to-month,4,90.4,356.65,Electronic check,Yes,Yes,No
8181-YHCMF,Two year,68,60.3,4109.0,Credit card (automatic),Yes,No,No
2240-HSJQD,Month-to-month,38,81.85,3141.7,Mailed check,No,Yes,No
1248-DYXUB,Two year,52,24.8,1229.1,Mailed check,No internet service,No,No
0265-EDXBD,Month-to-month,32,74.9,2303.35,Electronic check,No,Yes,Yes
4115-BNPJY,Two year,29,75.55,2054.4,Mailed check,Yes,No,No
3167-SNQPL,Month-to-month,38,101.15,3741.85,Electronic check,No,No,No
4091-TVOCN,One year,48,78.75,3682.45,Credit card (automatic),No,Yes,No
1098-TDVUQ,Month-to-month,1,19.25,19.25,Bank transfer (automatic),No internet service,Yes,No
7277-OZCGZ,Month-to-month,22,89.05,1886.25,Electronic check,Yes,Yes,No
1557-EMYVT,Two year,43,115.05,4895.1,Credit card (automatic),Yes,No,No
2799-ARNLO,Month-to-month,5,69.35,341.6,Electronic check,No,Yes,No
7563-BIUPC,Month-to-month,5,80.6,415.55,Electronic check,No,Yes,Yes
5027-YOCXN,One year,51,110.05,5686.4,Credit card (automatic),Yes,No,No
3973-SKMLN,Two year,71,19.9,1355.1,Credit card (automatic),No internet service,Yes,No
2321-OMBXY,One year,38,80.3,3058.65,Credit card (automatic),Yes,No,Yes
2840-XANRC,Month-to-month,24,93.15,2231.05,Electronic check,No,Yes,Yes
6745-JEFZB,Month-to-month,35,91.5,3236.35,Credit card (automatic),Yes,Yes,No
5020-ZSTTY,One year,54,82.45,4350.1,Bank transfer (automatic),Yes,No,Yes
9880-TDQAC,Two year,72,60.0,4264.0,Electronic check,Yes,Yes,No
8705-WZCYL,Month-to-month,1,44.8,44.8,Electronic check,No,Yes,No
7102-JJVTX,One year,9,48.6,422.3,Mailed check,No,No,No
8626-PTQGE,Two year,69,60.05,4176.7,Bank transfer (automatic),Yes,Yes,No
4983-CLMLV,Month-to-month,52,102.7,5138.1,Credit card (automatic),Yes,Yes,No
5701-YVSVF,Month-to-month,11,82.9,880.05,Electronic check,Yes,Yes,No
5804-LEPIM,Month-to-month,2,70.35,139.05,Electronic check,No,Yes,Yes
5697-GOMBF,Month-to-month,28,35.9,973.65,Electronic check,No,Yes,No
2739-CACDQ,Month-to-month,17,82.65,1470.05,Credit card (automatic),No,Yes,No
9385-EHGDO,Two year,35,19.85,739.35,Mailed check,No internet service,Yes,No
9498-FIMXL,One year,8,19.2,161.95,Mailed check,No internet service,Yes,No
2379-GYFLQ,One year,46,94.9,4422.95,Credit card (automatic),No,Yes,No
